servico;atendimentos_desde_01_07_2026;situacao;tipo_a_preencher
INFILTRACAO DR PAULO ROBERTO (CADA);326;cadastrado sem tipo;
PREVENTIVO;225;cadastrado sem tipo;
ECOCARDIOGRAMA (ADULTO);210;cadastrado sem tipo;
EXAMES LABORATORIAIS;131;cadastrado sem tipo;
RISCO CIRURGICO;87;cadastrado sem tipo;
FISIOTERAPIA (5 SESSOES);46;cadastrado sem tipo;
RESTAURACAO RESINA FOTOPOLIMERIZAVEL;44;cadastrado sem tipo;
OCT (GLAUCOMA, RETINA, MACULA, DISCOS OU PAPILA);43;cadastrado sem tipo;
ENDOSCOPIA;41;cadastrado sem tipo;
LAUDO CARLOS EDUARDO;40;cadastrado sem tipo;
TESTE DE UREASE;40;cadastrado sem tipo;
RETINOGRAFIA COLORIDA E RED-FREE;37;cadastrado sem tipo;
MANUTENCAO;33;cadastrado sem tipo;
APLICACAO DE VARIZES (CADA);31;cadastrado sem tipo;
MAPEAMENTO DE RETINA;27;cadastrado sem tipo;
CVC (CAMPO VISUAL COMPUTADORIZADO);23;cadastrado sem tipo;
USG DOPPLER CAROTIDAS E VERTEBRAIS;23;cadastrado sem tipo;
PAQUIMETRIA;20;cadastrado sem tipo;
AUDIOMETRIA;19;cadastrado sem tipo;
MEC (MICROSCOPIA ESPECULAR DE CORNEA);19;cadastrado sem tipo;
TIMPANOMETRIA (FONOAUDIOLOGIA);17;NAO ESTA NO CADASTRO;
VITAMINA D 6000 MIL UI;16;cadastrado sem tipo;
INSS / LAUDOS;15;cadastrado sem tipo;
RASPAGEM DE TARTARO;15;cadastrado sem tipo;
USG TRANSNUCENCIA NUCAL;14;cadastrado sem tipo;
EXODONTIA COM SUTURA;13;cadastrado sem tipo;
LAVAGEM DE OUVIDO;13;cadastrado sem tipo;
PAM (POTENCIAL DE ACUIDADE MACULAR);11;cadastrado sem tipo;
USG ABDOMEM TOTAL INFANTIL;11;cadastrado sem tipo;
CONSULTA CLINICO;10;cadastrado sem tipo;
CONSULTA TERAPEUTICA 1;10;cadastrado sem tipo;
RASPAGEM SUPRA-GENGIVAL POR ARCADA;10;cadastrado sem tipo;
VITAMINA B12;10;cadastrado sem tipo;
ATESTADO PARA ATIVIDADE FISICA ESCOLA DE FUTEBOL;9;cadastrado sem tipo;
CARTAO TERAPEUTICO;9;NAO ESTA NO CADASTRO;
CAPSULOTOMIA COM YAG LASER (POR OLHO);8;cadastrado sem tipo;
RESTAURACAO COM FORRO;7;cadastrado sem tipo;
VITAMINA D 6000 MIL UI DRA ROBERTA;7;cadastrado sem tipo;
PROTESE PARCIAL INCOLOR;6;cadastrado sem tipo;
PROTESE TOTAL INCOLOR;6;cadastrado sem tipo;
GONIOSCOPIA;5;cadastrado sem tipo;
INFILTRACAO;5;cadastrado sem tipo;
INSTALACAO APARELHO METAL;5;cadastrado sem tipo;
LAUDO PARA APTIDAO FISICA CONCURSO;5;cadastrado sem tipo;
VITAMINA B12 DRA ROBERTA;5;cadastrado sem tipo;
APLICACAO DE INJECAO;4;cadastrado sem tipo;
ATESTADO MEDICO;4;cadastrado sem tipo;
BETA HCG;4;NAO ESTA NO CADASTRO;
ESPIROMETRIA;4;cadastrado sem tipo;
PROCEDIMENTO - MATERIAL DA CASA;4;cadastrado sem tipo;
RADIOGRAFIA PERIAPICAL;4;cadastrado sem tipo;
REVISAO;4;cadastrado sem tipo;
ROACH;4;cadastrado sem tipo;
TESTE DA LINGUIHA;4;cadastrado sem tipo;
2 ITENS: EAS, URINOCULTURA;3;NAO ESTA NO CADASTRO;
ADMISSIONAL;3;cadastrado sem tipo;
ANESTESIA DA VIDEO HISTEROSCOPIA;3;cadastrado sem tipo;
BIOPSIA DA VIDEO HISTEROSCOPIA;3;cadastrado sem tipo;
COLONOSCOPIA (COM ANESTESIA);3;cadastrado sem tipo;
COROA DE CEROMERO;3;cadastrado sem tipo;
PELVE);3;NAO ESTA NO CADASTRO;
RPG 5 SESSOES;3;cadastrado sem tipo;
TC ABDOME TOTAL (SUPERIOR;3;NAO ESTA NO CADASTRO;
TESTE DO OLHINHO;3;cadastrado sem tipo;
TOPOGRAFIA DE CORNEAS / CERATOSCOPIA;3;cadastrado sem tipo;
URINOCULTURA;3;NAO ESTA NO CADASTRO;
ACUPUNTURA (4 SESSOES);2;cadastrado sem tipo;
CIMENTACAO RESINOSA;2;cadastrado sem tipo;
COMPLEXO B;2;cadastrado sem tipo;
ELETROCAUTERIZACAO PORTE 2;2;cadastrado sem tipo;
EXERSE DE CISTO DE BOLSA ESCROTAL;2;cadastrado sem tipo;
HAWLEY;2;cadastrado sem tipo;
MEDICACAO BETA TRINTA;2;cadastrado sem tipo;
PROCEDIMENTO;2;cadastrado sem tipo;
TESTE DA ORELHINHA;2;cadastrado sem tipo;
TRATAMENTO DE CANAL TRIRRADICURAR NOVO;2;cadastrado sem tipo;
VDRL;2;cadastrado sem tipo;
2 ITENS: CPK TOTAL, D DIMERO;1;NAO ESTA NO CADASTRO;
3 MEDICAMENTOS (ENFERMAGEM);1;NAO ESTA NO CADASTRO;
ACESSO PULPAR;1;cadastrado sem tipo;
APARELHO DE METAL ( SO MANUTENCAO );1;cadastrado sem tipo;
BIOPSIA DA COLONOSCOPIA (POR ANALISE);1;cadastrado sem tipo;
CATETERISMO VESICAL TROCA DE SONDA;1;cadastrado sem tipo;
CAUTERIZACAO GRANDE;1;cadastrado sem tipo;
CLAREAMENTO CASEIRO SUP/INF;1;cadastrado sem tipo;
CLAREAMENTO NO CONSULTORIO;1;cadastrado sem tipo;
CONTENCAO FIXA;1;cadastrado sem tipo;
CURATIVO (G);1;cadastrado sem tipo;
CURATIVO (M);1;cadastrado sem tipo;
CURATIVOS DRA. VALERIA;1;cadastrado sem tipo;
DEMISSIONAL;1;cadastrado sem tipo;
DOPPLER VEIAS ILIACAS;1;cadastrado sem tipo;
DOPPPLER DE VEIA CAVA INFERIOR;1;cadastrado sem tipo;
DRENAGEM LINFATICA (5 SESSOES);1;cadastrado sem tipo;
EAS;1;cadastrado sem tipo;
ELETROCAUTEITIZACAO PORTE 1;1;cadastrado sem tipo;
EXTRACAO DE SISO SIMPLES (MAXILA);1;cadastrado sem tipo;
EXTRACAO NIVEL 2;1;cadastrado sem tipo;
EXTRACAO NIVEL 3;1;cadastrado sem tipo;
FISIOTERAPIA RESPIRATORIA (5 SESSOES);1;cadastrado sem tipo;
FLUOR ) (ODONTOLOGIA);1;NAO ESTA NO CADASTRO;
LABORATORIO (1 EXAMES): HEMOGRAMA COMPLETO;1;NAO ESTA NO CADASTRO;
LABORATORIO (1 EXAMES): SEXAGEM FETAL;1;NAO ESTA NO CADASTRO;
LABORATORIO (1 EXAMES): VITAMINA D25;1;NAO ESTA NO CADASTRO;
LABORATORIO (2 EXAMES): HEMOGRAMA COMPLETO, COAGULOGRAMA;1;NAO ESTA NO CADASTRO;
LAUDO NEUROLOGIA;1;cadastrado sem tipo;
LAUDO PARA CONCURSO;1;cadastrado sem tipo;
LIMPEZA ( PROFILAXIA;1;NAO ESTA NO CADASTRO;
ORTOPEDIA;1;NAO ESTA NO CADASTRO;
PAREDE ABDOMINAL INFANTIL;1;cadastrado sem tipo;
PINO FIBRA VIDRO;1;cadastrado sem tipo;
PROCEDIMENTO - MATERIAL DO MEDICO;1;cadastrado sem tipo;
PROTESE FLEX ( SILICONE );1;cadastrado sem tipo;
RECONSTRUCAO ( RESINA );1;cadastrado sem tipo;
RETIRADA DE DIU;1;cadastrado sem tipo;
RETOSSIGMOIDOSCOPIA;1;cadastrado sem tipo;
RX BACIA;1;cadastrado sem tipo;
RX DO PE;1;cadastrado sem tipo;
RX TORAX  DORSO TORACICO;1;cadastrado sem tipo;
SONDA DE ALIVIO;1;cadastrado sem tipo;
SORO;1;NAO ESTA NO CADASTRO;
SORO+ 1 MEDICAMENTO;1;cadastrado sem tipo;
SORO+ 2 MEDICAMENTOS;1;cadastrado sem tipo;
TROCA DE SONDA - SONDA INCLUSA;1;cadastrado sem tipo;
USG DOPPLER CAROTIDAS E VERTEBRAIS 1;1;cadastrado sem tipo;
USG TIREOIDE INFANTIL;1;cadastrado sem tipo;
VIAS URINARIAS INFANTIL;1;cadastrado sem tipo;
